;movieID;movieTitle;movieYear;IMDBRating;IMDBVotes;genres;subURL;found
0;m0;10 things i hate about you;1999;6.9;62847;['comedy', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-10+things+i+hate+about+you;nok
1;m1;1492: conquest of paradise;1992;6.2;10421;['adventure', 'biography', 'drama', 'history'];https://www.opensubtitles.org/pt/search/imdbid-103594/sublanguageid-pob/moviename-1492:%20conquest%20of%20paradise;ok
2;m2;15 minutes;2001;6.1;25854;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-15+minutes;nok
3;m3;2001: a space odyssey;1968;8.4;163227;['adventure', 'mystery', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-62622/sublanguageid-pob/moviename-2001:%20a%20space%20odyssey;ok
4;m4;48 hrs.;1982;6.9;22289;['action', 'comedy', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-48+hrs.;nok
5;m5;the fifth element;1997;7.5;133756;['action', 'adventure', 'romance', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-119116/sublanguageid-pob/moviename-the%20fifth%20element;ok
6;m6;8mm;1999;6.3;48212;['crime', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-8mm;nok
7;m7;a nightmare on elm street 4: the dream master;1988;5.2;13590;['fantasy', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-95742/sublanguageid-pob/moviename-a%20nightmare%20on%20elm%20street%204:%20the%20dream%20master;ok
8;m8;a nightmare on elm street: the dream child;1989;4.7;11092;['fantasy', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-97981/sublanguageid-pob/moviename-a%20nightmare%20on%20elm%20street:%20the%20dream%20child;ok
9;m9;the atomic submarine;1959;4.9;513;['sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-the+atomic+submarine;nok
10;m10;affliction;1997;6.9;7252;['drama', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-affliction;nok
11;m11;air force one;1997;6.3;61978;['action', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-118571/sublanguageid-pob/moviename-air%20force%20one;ok
12;m12;airplane ii: the sequel;1982;5.8;15210;['comedy', 'romance', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-83530/sublanguageid-pob/moviename-airplane%20ii:%20the%20sequel;ok
13;m13;airplane!;1980;7.8;57692;['comedy', 'romance'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-airplane!;nok
14;m14;alien nation;1988;6.1;5590;['crime', 'drama', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-alien+nation;nok
15;m15;aliens;1986;8.5;173518;['action', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search2/sublanguageid-pob/moviename-aliens;nok
