index;movieID;movieTitle;movieYear;IMDBRating;IMDBVotes;genres;subURL;found;subDownUrl
0;m0;10 things i hate about you;1999;6.9;62847;['comedy', 'romance'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-4569;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4253498
1;m1;1492: conquest of paradise;1992;6.2;10421;['adventure', 'biography', 'drama', 'history'];https://www.opensubtitles.org/pt/search/imdbid-103594/sublanguageid-pob/moviename-1492:%20conquest%20of%20paradise;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3141352
2;m2;15 minutes;2001;6.1;25854;['action', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-2158;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/138875
3;m3;2001: a space odyssey;1968;8.4;163227;['adventure', 'mystery', 'sci-fi'];https://www.opensubtitles.org/pt/search/imdbid-62622/sublanguageid-pob/moviename-2001:%20a%20space%20odyssey;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3173863
4;m4;48 hrs.;1982;6.9;22289;['action', 'comedy', 'crime', 'drama', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-5687;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/84899
5;m5;the fifth element;1997;7.5;133756;['action', 'adventure', 'romance', 'sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-119116/sublanguageid-pob/moviename-the%20fifth%20element;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/4958459
6;m6;8mm;1999;6.3;48212;['crime', 'mystery', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-3780;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3659627
7;m7;a nightmare on elm street 4: the dream master;1988;5.2;13590;['fantasy', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-95742/sublanguageid-pob/moviename-a%20nightmare%20on%20elm%20street%204:%20the%20dream%20master;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/44143
8;m8;a nightmare on elm street: the dream child;1989;4.7;11092;['fantasy', 'horror', 'thriller'];https://www.opensubtitles.org/pt/search/imdbid-97981/sublanguageid-pob/moviename-a%20nightmare%20on%20elm%20street:%20the%20dream%20child;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/3589723
9;m9;the atomic submarine;1959;4.9;513;['sci-fi', 'thriller'];https://www.opensubtitles.org/pt/search/sublanguageid-pob/idmovie-24931;ok;https://www.opensubtitles.org/pt/subtitleserve/sub/6786778
